task_id,step_index,step_type,fault_type,expected_signal,expected_fired,expected_unavailable,T_clean,T_faulted,T_dropped,routing_changed,any_signal_fired
personal_loan_eligibility,0,reason,HALLUCINATED_FACT,"E,V",False,False,59.12,51.42,True,False,True
personal_loan_eligibility,1,act,WRONG_TOOL_ARG,L,False,False,81.52,28.6,True,True,True
personal_loan_eligibility,1,act,GOAL_INCOHERENT_ACTION,L,False,False,81.52,25.99,True,True,True
personal_loan_eligibility,2,observe,FABRICATED_OBSERVATION,(none),False,False,95.5,95.5,False,False,False
personal_loan_eligibility,3,act,WRONG_TOOL_ARG,L,True,False,97.76,28.6,True,True,True
personal_loan_eligibility,3,act,GOAL_INCOHERENT_ACTION,L,True,False,97.76,25.99,True,True,True
personal_loan_eligibility,4,observe,FABRICATED_OBSERVATION,(none),False,False,90.91,86.25,False,False,False
personal_loan_eligibility,5,reason,HALLUCINATED_FACT,"E,V",False,False,52.54,60.93,False,False,False
personal_loan_eligibility,6,synthesize,HALLUCINATED_FACT,"E,V",False,False,64.61,62.61,False,False,False
personal_loan_eligibility,6,synthesize,PREMATURE_SYNTHESIS,"C,L",True,False,64.61,56.34,True,False,True
repayment_affordability,0,reason,HALLUCINATED_FACT,"E,V",False,False,63.57,60.37,False,False,False
repayment_affordability,1,act,WRONG_TOOL_ARG,L,False,False,66.09,51.82,True,False,True
repayment_affordability,1,act,GOAL_INCOHERENT_ACTION,L,False,False,66.09,25.99,True,True,True
repayment_affordability,2,observe,FABRICATED_OBSERVATION,(none),False,False,51.82,61.93,False,False,False
repayment_affordability,3,reason,HALLUCINATED_FACT,"E,V",False,False,53.62,55.98,False,False,True
repayment_affordability,4,synthesize,HALLUCINATED_FACT,"E,V",False,False,64.79,60.21,False,False,True
repayment_affordability,4,synthesize,PREMATURE_SYNTHESIS,"C,L",True,False,64.79,46.56,True,False,True
office_location_public,0,reason,HALLUCINATED_FACT,"E,V",True,False,58.61,58.36,False,False,True
office_location_public,1,act,WRONG_TOOL_ARG,L,False,False,75.65,66.66,True,True,True
office_location_public,1,act,GOAL_INCOHERENT_ACTION,L,False,False,75.65,25.99,True,True,True
office_location_public,2,observe,FABRICATED_OBSERVATION,(none),False,False,96.01,38.98,True,True,True
office_location_public,3,reason,HALLUCINATED_FACT,"E,V",True,False,80.27,39.9,True,True,True
office_location_public,4,synthesize,HALLUCINATED_FACT,"E,V",False,False,71.06,48.61,True,True,True
office_location_public,4,synthesize,PREMATURE_SYNTHESIS,"C,L",True,False,71.06,45.66,True,True,True
